month,method,P,kappa,mat,mn,stdev,sharpe,xret,hjd
785,rff,3600,0.01,1,0.3724570163894818,0.5020858207568095,0.7418194280572707,0.1125058762946742,0.2896346906894356
785,rff,3600,0.1,1,0.22428089605957816,0.38180578731532566,0.5874214155752152,-0.13136606827925681,0.39125011045121216
785,rff,3600,1.0,1,0.1484146045911789,0.3418115112983417,0.4342001357047302,-0.17378754987151615,0.48576711793526
785,rff_ens,36,0.001,-1,0.4528396449749129,0.5588920880074401,0.8102452238845876,0.20973114633562248,0.25547914315410075
785,rff_ens,36,0.01,-1,0.31386162199447976,0.44395583710060804,0.7069658640919126,-0.0198782317906136,0.3116169820733533
785,rff_ens,36,0.1,-1,0.202759427705536,0.3724439162605504,0.5444025767457877,-0.16760427187702975,0.4180413238775057
785,rff_ens,36,1.0,-1,0.14410627224460026,0.34241439604006857,0.4208534276337414,-0.17685189369998414,0.49353601483212467
785,rff_ens,360,0.001,-1,0.4839620701182507,0.6058127130102214,0.7988641699403973,0.3335624230684626,0.2770385113270515
785,rff_ens,360,0.01,-1,0.3627301823464086,0.4966414721113824,0.7303662757045362,0.10063688009531338,0.296499895318808
785,rff_ens,360,0.1,-1,0.22659797135420123,0.3841714965941989,0.5898354598481759,-0.1277520497317655,0.38947275971446893
785,rff_ens,360,1.0,-1,0.15073152662661196,0.3417143087500309,0.4411039361447235,-0.1719523618349997,0.481759931676082
785,rff_ens,3600,0.001,-1,0.4901168371070504,0.6098049900017428,0.8037271671155883,0.3819227026814641,0.2755772886383491
785,rff_ens,3600,0.01,-1,0.37357620567551564,0.5028524718230959,0.7429141281161689,0.10462885357930768,0.28900170152008675
785,rff_ens,3600,0.1,-1,0.22458462836080864,0.3826790123916701,0.5868746941652169,-0.13444854170762666,0.39144654810501467
785,rff_ens,3600,1.0,-1,0.14883430327073144,0.34191752471040043,0.43529299469745547,-0.17406005884426673,0.48512495999831406
785,linlev,11,0.0,0,0.2905268170573014,0.443551830362795,0.6550008300488138,0.23891729591748617,0.34382474653863493
785,linlev,11,0.001,0,0.29618270227344723,0.45881207607562957,0.6455425166808929,0.24327510693761295,0.3496016327375417
785,linlev,11,0.01,0,0.28083639529957116,0.4499491785511227,0.6241513679475755,0.11131833706750503,0.3633848766101501
785,linlev,11,0.1,0,0.26470900654668506,0.4420143120389671,0.5988697635730601,-0.05001322697454465,0.3797638201064496
785,linlev,11,1.0,0,0.20816217587320293,0.34485997798448637,0.6036136088907573,-0.05237286659055315,0.38966986713892626
785,rff_lev,36,0.001,0,0.3319576087276377,0.4691953819087388,0.7075039983923059,0.45233258806276877,0.3101592659469887
785,rff_lev,36,0.01,0,0.2793526629159854,0.403278318013209,0.6927043940577917,0.20728838943777686,0.32570030923144966
785,rff_lev,36,0.1,0,0.20671465488859275,0.35323735796280276,0.585200433161321,-0.06361704229507642,0.3978125928346711
785,rff_lev,36,1.0,0,0.13987464120882673,0.340026351031481,0.41136412158796654,-0.16020795364479823,0.4991678752370339
785,rff_lev,360,0.001,0,0.5092798203199836,0.7083927752607732,0.7189229451592132,0.21159698748193073,0.38636094179245317
785,rff_lev,360,0.01,0,0.39412073183511054,0.5483208798015733,0.7187775376668771,0.0852198656058626,0.31147979782399876
785,rff_lev,360,0.1,0,0.25409561395405034,0.3942734678117892,0.6444654147393598,-0.10258132393775535,0.3555592435485244
785,rff_lev,360,1.0,0,0.15109474175290238,0.3383186555212417,0.4466048185256392,-0.16627641428712608,0.47883397315887755
785,rff_lev,3600,0.001,0,0.5116280281792591,0.662970814012613,0.7717202889862439,0.2426030514329453,0.3217718060982304
785,rff_lev,3600,0.01,0,0.3830137601241984,0.5194067956449678,0.7374061397263684,0.13447246457094336,0.29418976256385915
785,rff_lev,3600,0.1,0,0.24610300388236495,0.3809920487081398,0.645953123475532,-0.06429222848689783,0.35724994493962436
785,rff_lev,3600,1.0,0,0.14881512015174547,0.3385986471524865,0.43950299684666844,-0.15820649480060014,0.482899066541387
785,rff_lev,36,0.001,1,0.36249694577230857,0.5630806203401139,0.6437745016927628,0.27289990524318886,0.3672042521578477
785,rff_lev,36,0.01,1,0.3346696478973061,0.49352077727128607,0.6781267644854185,0.161611603557017,0.3299615580331544
785,rff_lev,36,0.1,1,0.24788059826501066,0.38608678169870775,0.6420333718092694,0.002981044694950488,0.3584809204742694
785,rff_lev,36,1.0,1,0.1516488952391249,0.3399045031930988,0.44615147435388225,-0.13768066394346073,0.4789689912455501
785,rff_lev,360,0.001,1,0.48460714934763216,0.626296681202052,0.7737661141961109,0.4116058924815811,0.30161164639388405
785,rff_lev,360,0.01,1,0.39742871449776773,0.5451704809396991,0.7289989615958811,0.2510026858857215,0.3040373304054411
785,rff_lev,360,0.1,1,0.253610302193824,0.3905866243057526,0.6493061626075987,-0.0014656356588492112,0.35338981508336315
785,rff_lev,360,1.0,1,0.15085624219671467,0.33818968067225863,0.44606991525241196,-0.14435893063051022,0.47915170453509415
785,rff_lev,3600,0.001,1,0.4777585559647077,0.6216129065804922,0.7685788871290804,0.263924177836517,0.30287305450112045
785,rff_lev,3600,0.01,1,0.376925509126779,0.517297703635315,0.7286433063165196,0.15352893204694473,0.2995530583688992
785,rff_lev,3600,0.1,1,0.24246473755689832,0.3805437763104682,0.6371533385927259,-0.047062480781343285,0.362407562538976
