method,P,kappa,sharpe,hjd,real_sr,t_vs_fm
rff_lev,360,0.001,0.4954971633086248,0.5913212756027991,0.5133346007629919,-6.22575173750331
rff_lev,360,0.01,0.49117409942134826,0.5701812455941672,0.5390154765924474,-12.695346699474193
rff_lev,360,0.03,0.46446898805854175,0.5822145909389194,0.5147704577406376,-23.770490803218134
rff_lev,360,0.1,0.419720700369709,0.607348255859778,0.46686042083873347,-34.23729175760009
rff_lev,360,0.3,0.35088259936341654,0.6383631211117328,0.40219263105909936,-47.85552438146536
rff_lev,360,1.0,0.2817453705698594,0.6645376926687107,0.3425721690818162,-67.07161856516774
rff_lev,360,3.0,0.2511203147285389,0.6758245833625687,0.3167258915034827,-76.66903763932555
rff_lev,360,10.0,0.23885548774182708,0.6803890055209937,0.306386554469483,-80.53267762942957
rff_lev,3600,0.001,0.515723576212844,0.5712835523602882,0.4967259514843957,-4.170868823086311
rff_lev,3600,0.01,0.4951554934772762,0.5668817245351877,0.5340989803416031,-12.931382110797177
rff_lev,3600,0.03,0.466912842172171,0.5811309481172368,0.513477123728061,-24.46969799397592
rff_lev,3600,0.1,0.41870756057870556,0.6082129692105915,0.4651133910052584,-35.232153524532734
rff_lev,3600,0.3,0.3466938992793003,0.6400303164674138,0.3987369260392424,-49.69637393727671
rff_lev,3600,1.0,0.2788507377724221,0.6655969599354662,0.340276019630582,-68.3536161944264
rff_lev,3600,3.0,0.24990902741030252,0.6762747250607978,0.3157592028141104,-77.18826764153569
rff_lev,3600,10.0,0.23846325605299096,0.6805365915670651,0.3060720585041257,-80.69642633362767
rff_lev_ens,36,0.001,0.44107123797013337,0.618582089478647,0.5279756624551611,-18.622339512965073
rff_lev_ens,36,0.01,0.4566220613470175,0.5881262025146213,0.5465238035668887,-17.772886754281554
rff_lev_ens,36,0.03,0.4490065660936695,0.589933449786388,0.5295178784071121,-22.594170467746522
rff_lev_ens,36,0.1,0.4103698798366281,0.6121461861976578,0.4747403517043146,-34.67308083407686
rff_lev_ens,36,0.3,0.34088198596131014,0.6423466227201696,0.4007430206723264,-52.65801063688349
rff_lev_ens,36,1.0,0.27613527383644826,0.6665923728813313,0.3399187133166623,-70.73765756178167
rff_lev_ens,36,3.0,0.24888182713980297,0.6766504001739898,0.315159810735451,-78.19786401557748
rff_lev_ens,36,10.0,0.23814195296684376,0.6806545873512979,0.3054591149809758,-81.02190178824608
rff_lev_ens,360,0.001,0.5081707714938907,0.5802661274766685,0.527692264823571,-4.597982722763076
rff_lev_ens,360,0.01,0.4928522625548373,0.5691562183359563,0.5402626748164748,-12.25994627638503
rff_lev_ens,360,0.03,0.4653602888202203,0.5817902548366602,0.514940478022405,-23.46196933893695
rff_lev_ens,360,0.1,0.42017002457823316,0.6071883948458253,0.4664680955633346,-34.06636093090457
rff_lev_ens,360,0.3,0.3510008245809509,0.6383207352261117,0.4015318488480978,-47.7963372088837
rff_lev_ens,360,1.0,0.2817565555977217,0.6645317371139646,0.3419019978878079,-67.06244254390221
rff_lev_ens,360,3.0,0.2511213698763619,0.6758238148587143,0.31609144810431045,-76.66784405772832
