model,tag,seed,eval_months,sr_ew,sr_max_eval,sr_orth,ew_share_of_srmax,ew_mu_min,dkkm_top_kappa,dkkm_at_top_min,dkkm_at_top_max,dkkm_best,lin_best,linrank_k0
gs_bx,gx7,7,125,0.6088151357969136,0.6275753617763424,0.15060522484815544,0.9701068156558468,0.008872571078881264,10.0,0.6080352206264477,0.6090746070552241,0.6092929736099486,0.5965992988425927,0.4858837674977135
gs_bx,gx7,8,125,0.5054812291504954,0.5186207610326085,0.10925400111697556,0.9746644699376258,0.008029479577413037,10.0,0.5058974129626269,0.5063182227903115,0.5073879142943065,0.4878056939819946,0.37947248384438
gs_bx,gx7,9,125,0.3649783298026089,0.3711279210351601,0.06431004285314512,0.9834299957400171,0.002023124767391324,10.0,0.3643611530068117,0.3646739509550977,0.3646739509550977,0.327847904795959,0.269540928135236
gs_bx,bx7,0,125,0.3063730293923059,0.32995531124298266,0.12124005149077127,0.9285288611908098,0.0052048234060318626,10.0,0.3069155788545778,0.3073708097360503,0.314039539009676,0.3036889521424954,0.2971419961032017
gs_bx,bx7,1,125,0.2367894564774522,0.2526687492507469,0.08610046171962078,0.9371537128339675,0.004758154874258308,10.0,0.2370614754849864,0.2374041541927862,0.2390222719311944,0.2291577384894034,0.2240192465681221
gs_bx,bx7,2,125,0.24361214845787213,0.25614352669838286,0.07845922788027541,0.9510767326348761,0.004798181931078999,10.0,0.2435745517528402,0.2437177664320523,0.243871859081772,0.2376439866235535,0.225447703771639
gs_bx,bx7,3,125,0.2157094656074111,0.23005783748909484,0.07916575746211417,0.9376314580790412,0.005323573346451609,10.0,0.2158604927014404,0.2162770270207743,0.2189856423928655,0.2148379325091361,0.2148379325091361
gs_bx,bx7,4,125,0.2394956436063049,0.250667164521819,0.07320777059194397,0.955432850821027,0.004702465703508006,10.0,0.2396690554177835,0.2400769376120821,0.2424000391592926,0.2258563538461164,0.2098755594671153
gs_bx,bx7,5,125,0.2898220157259161,0.30931265429238675,0.10743369475676517,0.9369872577277535,0.005386793888637785,10.0,0.2899404811045987,0.2904060074094755,0.2933316774319655,0.2817439629054942,0.2650853093677587
gs_bx,bx7,6,125,0.3989048010146808,0.4281050684630897,0.15480730418212757,0.9317918202808512,0.0051611323355695215,10.0,0.3991994175003104,0.3994005817940715,0.4047015197765515,0.403373728998232,0.3688464944494465
gs_bx,bx7,7,125,0.2858544691139343,0.30001787787210243,0.08936325917255984,0.9527914507674573,0.004893842133731735,10.0,0.2858889785682032,0.2859791866215354,0.2865635342551576,0.2859208545377692,0.2792074991891344
gs_bx,bx7,8,125,0.2816414300424485,0.29885961823775914,0.09834749483859562,0.9423870367738588,0.004570433882422594,10.0,0.2816748849005744,0.2818641210969966,0.2828270172718591,0.2762210675238493,0.2677171654147661
gs_bx,bx7,9,125,0.42792923216855894,0.46479148731108877,0.18021175975212225,0.9206907696270745,0.005056149521542172,10.0,0.4283387141013799,0.4289637059695832,0.4385154779335063,0.4281999236395655,0.4035727868626264
