,eps,G_up,G_down
400,2.007997997997998,120652.26470325248,88290.26835031743
401,2.012992992992993,120929.14326921263,88366.94876345526
402,2.017987987987988,121207.63509300824,88444.01150904183
403,2.022982982982983,121487.74864564823,88521.45843733179
404,2.027977977977978,121769.49243468695,88599.29140615372
405,2.032972972972973,122052.87500434175,88677.51228093331
406,2.0379679679679676,122337.90493561089,88756.12293471703
407,2.042962962962963,122624.59084639147,88835.12524819546
408,2.0479579579579577,122912.94139159775,88914.52110972695
409,2.052952952952953,123202.96526327978,88994.31241536122
410,2.0579479479479477,123494.67119074213,89074.50106886296
411,2.062942942942943,123788.06794066294,89155.08898173556
412,2.0679379379379377,124083.1643172132,89236.07807324489
413,2.072932932932933,124379.96916217635,89317.47027044307
414,2.0779279279279277,124678.49135506793,89399.26750819226
415,2.082922922922923,124978.7398132557,89481.47172918863
416,2.0879179179179177,125280.72349207985,89564.08488398626
417,2.092912912912913,125584.45138497371,89647.10893102118
418,2.0979079079079077,125889.93252358418,89730.54583663537
419,2.102902902902903,126197.17597789303,89814.39757510081
420,2.1078978978978977,126506.19085633806,89898.66612864369
421,2.112892892892893,126816.98630593451,89983.35348746851
422,2.1178878878878877,127129.57151239701,90068.46164978243
423,2.122882882882883,127443.95570026146,90153.99262181943
424,2.1278778778778777,127760.14813300729,90239.94841786471
425,2.132872872872873,128078.15811317989,90326.331060279
426,2.1378678678678678,128397.99498251354,90413.14257952306
427,2.1428628628628625,128719.66812205428,90500.38501418213
428,2.1478578578578578,129043.18695228315,90588.06041099047
429,2.1528528528528525,129368.56093323973,90676.17082485586
430,2.1578478478478478,129695.79956464577,90764.71831888426
431,2.1628428428428426,130024.9123860293,90853.70496440452
432,2.167837837837838,130355.90897684892,90943.13284099304
433,2.1728328328328326,130688.79895661808,91033.00403649858
434,2.177827827827828,131023.59198502991,91123.32064706698
435,2.1828228228228226,131360.2977620823,91214.08477716618
436,2.187817817817818,131698.92602820302,91305.29853961096
437,2.1928128128128126,132039.48656437526,91396.96405558806
438,2.197807807807808,132381.98919226328,91489.08345468105
439,2.2028028028028026,132726.44377433858,91581.6588748955
440,2.207797797797798,133072.86021400592,91674.69246268396
441,2.2127927927927926,133421.24845572986,91768.18637297123
442,2.217787787787788,133771.61848516163,91862.14276917955
443,2.2227827827827826,134123.98032926596,91956.56382325376
444,2.227777777777778,134478.3440564484,92051.45171568674
445,2.2327727727727726,134834.71977668273,92146.8086355446
446,2.237767767767768,135193.11764163882,92242.63678049222
447,2.2427627627627627,135553.54784481047,92338.93835681863
448,2.247757757757758,135916.0206216438,92435.71557946253
449,2.2527527527527527,136280.54624966564,92532.9706720378
450,2.2577477477477474,136647.1350486123,92630.70586685915
451,2.2627427427427427,137015.7973805586,92728.9234049677
452,2.2677377377377375,137386.5436500471,92827.62553615676
